,Track,Artist,Region,Country,Sub_Region,Track_n_Region,days_on_chart,first_appeared_date
208209,Camarote,Wesley Safadão,br,Brazil,South America,Camarote br,2,12/31/2016
208220,You're Gonna Live Forever in Me,John Mayer,br,Brazil,South America,You're Gonna Live Forever in Me br,1,1/19/2017
208226,Be Yourself,Audioslave,br,Brazil,South America,Be Yourself br,1,5/17/2017
213319,Sun Goes Down,Bruno Martini,br,Brazil,South America,Sun Goes Down br,47,6/23/2017
213320,Avisa Que Eu Cheguei,Naiara Azevedo,br,Brazil,South America,Avisa Que Eu Cheguei br,44,5/12/2017
213321,What Do You Mean?,Justin Bieber,br,Brazil,South America,What Do You Mean? br,45,12/31/2016
213322,Perfect,Ed Sheeran,br,Brazil,South America,Perfect br,59,3/3/2017
213323,Nessas Horas - Ao Vivo,Matheus & Kauan,br,Brazil,South America,Nessas Horas - Ao Vivo br,60,5/24/2017
213325,The Night We Met,Lord Huron,br,Brazil,South America,The Night We Met br,46,4/6/2017
213326,The Greatest,Sia,br,Brazil,South America,The Greatest br,42,12/31/2016
213327,All Night,The Vamps,br,Brazil,South America,All Night br,49,1/1/2017
213330,Sentimento Louco - Ao Vivo,Marília Mendonça,br,Brazil,South America,Sentimento Louco - Ao Vivo br,58,12/31/2016
213331,Corpo Sensual,Pabllo Vittar,br,Brazil,South America,Corpo Sensual br,51,6/17/2017
213332,Mi Gente,J Balvin,br,Brazil,South America,Mi Gente br,43,6/29/2017
213333,Bad Things (with Camila Cabello),Machine Gun Kelly,br,Brazil,South America,Bad Things (with Camila Cabello) br,41,12/31/2016
213334,I Would Like,Zara Larsson,br,Brazil,South America,I Would Like br,50,12/31/2016
213335,Aquele 1% - Ao Vivo,Marcos & Belutti,br,Brazil,South America,Aquele 1% - Ao Vivo br,44,12/31/2016
213338,Hard Times,Paramore,br,Brazil,South America,Hard Times br,42,4/18/2017
213339,Down,Fifth Harmony,br,Brazil,South America,Down br,60,6/2/2017
213343,Everyday,Ariana Grande,br,Brazil,South America,Everyday br,48,3/20/2017
213344,Nada Bom II,Costa Gold,br,Brazil,South America,Nada Bom II br,53,12/31/2016
213345,Tô Apaixonado Nessa Mina,MC Kevinho,br,Brazil,South America,Tô Apaixonado Nessa Mina br,58,6/11/2017
213347,Byob,Sevenn,br,Brazil,South America,Byob br,45,12/31/2016
213349,Made In Roça,Loubet,br,Brazil,South America,Made In Roça br,46,12/31/2016
213350,Era uma Vez,Kell smith,br,Brazil,South America,Era uma Vez br,44,6/25/2017
213351,Amor Mal Resolvido - Ao Vivo,Simone & Simaria,br,Brazil,South America,Amor Mal Resolvido - Ao Vivo br,49,12/31/2016
213352,Pode Se Soltar,Jerry Smith,br,Brazil,South America,Pode Se Soltar br,60,6/9/2017
213353,SUBEME LA RADIO,Enrique Iglesias,br,Brazil,South America,SUBEME LA RADIO br,53,3/15/2017
213354,Fala a Verdade - Ao Vivo,Maiara & Maraisa,br,Brazil,South America,Fala a Verdade - Ao Vivo br,43,12/31/2016
213355,Esqueci Como Namora,Nego do Borel,br,Brazil,South America,Esqueci Como Namora br,60,6/9/2017
213358,Oitava Dose - Na Praia 2 / Ao Vivo,Matheus & Kauan,br,Brazil,South America,Oitava Dose - Na Praia 2 / Ao Vivo br,56,1/1/2017
213360,Lei do Retorno,Mc Don Juan,br,Brazil,South America,Lei do Retorno br,51,6/18/2017
213361,Love Is A Temple,Alok,br,Brazil,South America,Love Is A Temple br,51,6/2/2017
213362,Ressaca de Saudade - Ao Vivo,Wesley Safadão,br,Brazil,South America,Ressaca de Saudade - Ao Vivo br,44,6/4/2017
213363,Apenas Mais uma de Amor,Lulu Santos,br,Brazil,South America,Apenas Mais uma de Amor br,60,1/1/2017
213368,Você Faz Falta Aqui - Ao Vivo | Acústico,Maiara & Maraisa,br,Brazil,South America,Você Faz Falta Aqui - Ao Vivo | Acústico br,58,12/31/2016
213373,"How Far I'll Go - From ""Moana""",Alessia Cara,br,Brazil,South America,"How Far I'll Go - From ""Moana"" br",44,1/7/2017
213374,Whatever It Takes,Imagine Dragons,br,Brazil,South America,Whatever It Takes br,43,5/11/2017
213379,Thinking Out Loud,Ed Sheeran,br,Brazil,South America,Thinking Out Loud br,54,12/31/2016
213384,Your Song,Rita Ora,br,Brazil,South America,Your Song br,44,5/25/2017
213386,2U (feat. Justin Bieber),David Guetta,br,Brazil,South America,2U (feat. Justin Bieber) br,58,6/9/2017
213389,Oh Nanana,Bonde R300,br,Brazil,South America,Oh Nanana br,56,6/13/2017
213391,Tchau e Bença,Mc Livinho,br,Brazil,South America,Tchau e Bença br,44,5/26/2017
213392,Cool Girl,Tove Lo,br,Brazil,South America,Cool Girl br,56,1/1/2017
213413,A Gente Brigou,Mc Don Juan,br,Brazil,South America,A Gente Brigou br,49,6/18/2017
213427,Wild Thoughts,DJ Khaled,br,Brazil,South America,Wild Thoughts br,54,6/15/2017
214365,Ar-Condicionado No 15 - Ao Vivo,Wesley Safadão,br,Brazil,South America,Ar-Condicionado No 15 - Ao Vivo br,45,6/4/2017
214370,Feels,Calvin Harris,br,Brazil,South America,Feels br,54,6/15/2017
214398,Folgado - Ao Vivo,Marília Mendonça,br,Brazil,South America,Folgado - Ao Vivo br,42,12/31/2016
214546,50/50 - Ao Vivo,Gusttavo Lima,br,Brazil,South America,50/50 - Ao Vivo br,41,12/31/2016
218953,Oceans Away,A R I Z O N A,ca,Canada,Northern America,Oceans Away ca,52,12/31/2016
218954,Make Me (Cry),Noah Cyrus,ca,Canada,Northern America,Make Me (Cry) ca,54,12/31/2016
218955,Tone it Down (feat. Chris Brown),Gucci Mane,ca,Canada,Northern America,Tone it Down (feat. Chris Brown) ca,44,6/22/2017
218956,Madiba Riddim,Drake,ca,Canada,Northern America,Madiba Riddim ca,59,3/18/2017
218957,How Would You Feel (Paean),Ed Sheeran,ca,Canada,Northern America,How Would You Feel (Paean) ca,45,2/17/2017
218958,4422,Drake,ca,Canada,Northern America,4422 ca,41,3/18/2017
218959,Swish Swish,Katy Perry,ca,Canada,Northern America,Swish Swish ca,58,5/18/2017
218960,Come and See Me (feat. Drake),PARTYNEXTDOOR,ca,Canada,Northern America,Come and See Me (feat. Drake) ca,56,12/31/2016
218961,Some Kind Of Drug,G-Eazy,ca,Canada,Northern America,Some Kind Of Drug ca,43,12/31/2016
218962,Don't,Ed Sheeran,ca,Canada,Northern America,Don't ca,60,12/31/2016
218964,Love Galore,SZA,ca,Canada,Northern America,Love Galore ca,57,6/8/2017
218965,Lighthouse - Andrelli Remix,Hearts & Colors,ca,Canada,Northern America,Lighthouse - Andrelli Remix ca,45,12/31/2016
218966,Young,The Chainsmokers,ca,Canada,Northern America,Young ca,42,4/6/2017
218968,Love Again,Hedley,ca,Canada,Northern America,Love Again ca,45,6/15/2017
218969,Me Rehúso,Danny Ocean,ca,Canada,Northern America,Me Rehúso ca,60,5/17/2017
218970,It's Gotta Be You,Isaiah,ca,Canada,Northern America,It's Gotta Be You ca,53,1/4/2017
218971,Quit (feat. Ariana Grande),Cashmere Cat,ca,Canada,Northern America,Quit (feat. Ariana Grande) ca,54,4/27/2017
218973,Wild Thoughts,DJ Khaled,ca,Canada,Northern America,Wild Thoughts ca,51,6/15/2017
218974,Into You,Ariana Grande,ca,Canada,Northern America,Into You ca,55,12/31/2016
218975,Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,ca,Canada,Northern America,Bad Bitch (feat. Ty Dolla $ign) ca,45,4/10/2017
218977,Break Up Every Night,The Chainsmokers,ca,Canada,Northern America,Break Up Every Night ca,47,4/6/2017
218979,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,ca,Canada,Northern America,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners ca,47,12/31/2016
218981,One I Want (feat. PARTYNEXTDOOR),Majid Jordan,ca,Canada,Northern America,One I Want (feat. PARTYNEXTDOOR) ca,49,6/15/2017
218982,Shed a Light,Robin Schulz,ca,Canada,Northern America,Shed a Light ca,49,12/31/2016
218985,Six Feet Under,The Weeknd,ca,Canada,Northern America,Six Feet Under ca,55,12/31/2016
218986,Sacrifices,Drake,ca,Canada,Northern America,Sacrifices ca,54,2/2/2017
218988,Romantic - NOTD Remix,Stanaj,ca,Canada,Northern America,Romantic - NOTD Remix ca,48,1/13/2017
218989,"Gucci On My (feat. 21 Savage, YG & Migos)",Mike WiLL Made-It,ca,Canada,Northern America,"Gucci On My (feat. 21 Savage, YG & Migos) ca",48,3/3/2017
218991,Now and Later,Sage The Gemini,ca,Canada,Northern America,Now and Later ca,55,12/31/2016
218993,Feels,Calvin Harris,ca,Canada,Northern America,Feels ca,51,6/15/2017
218995,Numb,21 Savage,ca,Canada,Northern America,Numb ca,45,7/6/2017
218998,No Frauds,Nicki Minaj,ca,Canada,Northern America,No Frauds ca,57,3/9/2017
219001,Relationship (feat. Future),Young Thug,ca,Canada,Northern America,Relationship (feat. Future) ca,51,6/15/2017
219002,New Man,Ed Sheeran,ca,Canada,Northern America,New Man ca,41,3/3/2017
219004,Kelly Price (feat. Travis Scott),Migos,ca,Canada,Northern America,Kelly Price (feat. Travis Scott) ca,41,1/27/2017
219006,Young Dumb & Broke,Khalid,ca,Canada,Northern America,Young Dumb & Broke ca,44,6/23/2017
219009,Sidewalks,The Weeknd,ca,Canada,Northern America,Sidewalks ca,55,12/31/2016
219015,Who Do You Love,Marianas Trench,ca,Canada,Northern America,Who Do You Love ca,52,12/31/2016
219016,RAF,A$AP Mob,ca,Canada,Northern America,RAF ca,57,5/26/2017
219020,No Favors,Big Sean,ca,Canada,Northern America,No Favors ca,50,2/2/2017
219021,KMT,Drake,ca,Canada,Northern America,KMT ca,60,3/18/2017
219023,Neighbors,J. Cole,ca,Canada,Northern America,Neighbors ca,48,12/31/2016
219024,Ride,Twenty One Pilots,ca,Canada,Northern America,Ride ca,45,12/31/2016
219025,Lot to Learn,Luke Christopher,ca,Canada,Northern America,Lot to Learn ca,53,12/31/2016
219026,Lights Down Low,MAX,ca,Canada,Northern America,Lights Down Low ca,55,2/19/2017
219031,Bon Appétit,Katy Perry,ca,Canada,Northern America,Bon Appétit ca,46,4/27/2017
219032,Numb,Linkin Park,ca,Canada,Northern America,Numb ca,45,7/6/2017
219035,Signs,Drake,ca,Canada,Northern America,Signs ca,44,6/23/2017
219037,OOOUUU,Young M.A.,ca,Canada,Northern America,OOOUUU ca,49,12/31/2016
219044,Glorious (feat. Skylar Grey),Macklemore,ca,Canada,Northern America,Glorious (feat. Skylar Grey) ca,44,6/22/2017
219065,Heatstroke,Calvin Harris,ca,Canada,Northern America,Heatstroke ca,41,3/30/2017
219066,Fresh Eyes,Andy Grammer,ca,Canada,Northern America,Fresh Eyes ca,50,12/31/2016
219070,2U (feat. Justin Bieber),David Guetta,ca,Canada,Northern America,2U (feat. Justin Bieber) ca,55,6/8/2017
219073,Still Here,Drake,ca,Canada,Northern America,Still Here ca,56,12/31/2016
219079,What Do I Know?,Ed Sheeran,ca,Canada,Northern America,What Do I Know? ca,45,3/3/2017
219084,"i hate u, i love u (feat. olivia o'brien)",gnash,ca,Canada,Northern America,"i hate u, i love u (feat. olivia o'brien) ca",48,12/31/2016
219085,Work,Rihanna,ca,Canada,Northern America,Work ca,50,12/31/2016
219094,New Rules,Dua Lipa,ca,Canada,Northern America,New Rules ca,54,6/5/2017
219096,No Complaints,Metro Boomin,ca,Canada,Northern America,No Complaints ca,44,6/23/2017
219097,Litty (feat. Tory Lanez),Meek Mill,ca,Canada,Northern America,Litty (feat. Tory Lanez) ca,54,12/31/2016
219098,Don't,Bryson Tiller,ca,Canada,Northern America,Don't ca,60,12/31/2016
219111,Dynamite (feat. Pretty Sister),Nause,ca,Canada,Northern America,Dynamite (feat. Pretty Sister) ca,53,12/31/2016
219113,Gold,Kiiara,ca,Canada,Northern America,Gold ca,50,12/31/2016
219138,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",Young Thug,ca,Canada,Northern America,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock) ca",41,4/13/2017
219139,Light,San Holo,ca,Canada,Northern America,Light ca,41,12/31/2016
219143,Two High,Moon Taxi,ca,Canada,Northern America,Two High ca,44,6/23/2017
219149,Light,Big Sean,ca,Canada,Northern America,Light ca,41,12/31/2016
219154,Sacrifices,Big Sean,ca,Canada,Northern America,Sacrifices ca,54,2/2/2017
219155,Whatever It Takes,Imagine Dragons,ca,Canada,Northern America,Whatever It Takes ca,58,5/11/2017
219162,Back To Back,Drake,ca,Canada,Northern America,Back To Back ca,53,12/31/2016
219167,Everyday,Ariana Grande,ca,Canada,Northern America,Everyday ca,57,2/26/2017
219206,LUV,Tory Lanez,ca,Canada,Northern America,LUV ca,42,12/31/2016
219212,XXX. FEAT. U2.,Kendrick Lamar,ca,Canada,Northern America,XXX. FEAT. U2. ca,42,4/13/2017
219589,More Than You Know,Axwell /\ Ingrosso,ca,Canada,Northern America,More Than You Know ca,63,5/31/2017
219590,Myself,NAV,ca,Canada,Northern America,Myself ca,66,2/23/2017
219591,Jumpman,Drake,ca,Canada,Northern America,Jumpman ca,73,12/31/2016
219592,Bad Liar,Selena Gomez,ca,Canada,Northern America,Bad Liar ca,72,5/17/2017
219593,Crying in the Club,Camila Cabello,ca,Canada,Northern America,Crying in the Club ca,73,5/18/2017
219594,All We Know,The Chainsmokers,ca,Canada,Northern America,All We Know ca,70,12/31/2016
219596,Faded,Alan Walker,ca,Canada,Northern America,Faded ca,77,12/31/2016
219597,Ophelia,The Lumineers,ca,Canada,Northern America,Ophelia ca,65,12/31/2016
219598,Your Song,Rita Ora,ca,Canada,Northern America,Your Song ca,65,5/27/2017
219599,Stressed Out,Twenty One Pilots,ca,Canada,Northern America,Stressed Out ca,70,12/31/2016
219600,I Would Like,Zara Larsson,ca,Canada,Northern America,I Would Like ca,64,12/31/2016
219602,Lean On (feat. MØ & DJ Snake),Major Lazer,ca,Canada,Northern America,Lean On (feat. MØ & DJ Snake) ca,71,12/31/2016
219603,Don't Leave,Snakehips,ca,Canada,Northern America,Don't Leave ca,65,1/5/2017
219605,Feels Right - Galloway Remix,Jocelyn Alice,ca,Canada,Northern America,Feels Right - Galloway Remix ca,78,1/6/2017
219606,Devotion - SMLE Remix,Coleman Hell,ca,Canada,Northern America,Devotion - SMLE Remix ca,76,3/6/2017
219607,May We All,Florida Georgia Line,ca,Canada,Northern America,May We All ca,80,1/15/2017
219608,September Song,JP Cooper,ca,Canada,Northern America,September Song ca,71,3/3/2017
219610,Lights Out,Virginia To Vegas,ca,Canada,Northern America,Lights Out ca,68,12/31/2016
219613,Rollin,Calvin Harris,ca,Canada,Northern America,Rollin ca,80,5/11/2017
219614,Sorry,Justin Bieber,ca,Canada,Northern America,Sorry ca,69,12/31/2016
219615,Sunset Lover,Petit Biscuit,ca,Canada,Northern America,Sunset Lover ca,74,12/31/2016
219618,Nights With You,MØ,ca,Canada,Northern America,Nights With You ca,69,4/23/2017
219621,Love Me Now,John Legend,ca,Canada,Northern America,Love Me Now ca,73,12/31/2016
219624,High Without Your Love,Loote,ca,Canada,Northern America,High Without Your Love ca,69,5/8/2017
219625,Free Smoke,Drake,ca,Canada,Northern America,Free Smoke ca,72,3/18/2017
219629,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,ca,Canada,Northern America,Light It Up (feat. Nyla & Fuse ODG) - Remix ca,76,12/31/2016
219633,Cake,Flo Rida,ca,Canada,Northern America,Cake ca,66,12/31/2016
219643,Touch,Little Mix,ca,Canada,Northern America,Touch ca,76,3/3/2017
219647,Dive,Ed Sheeran,ca,Canada,Northern America,Dive ca,78,3/3/2017
219649,Mask Off - Remix,Future,ca,Canada,Northern America,Mask Off - Remix ca,69,5/23/2017
219650,No Heart,21 Savage,ca,Canada,Northern America,No Heart ca,78,12/31/2016
219651,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,ca,Canada,Northern America,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars) ca,68,12/31/2016
219653,Taped Up Heart (feat. Clara Mae),KREAM,ca,Canada,Northern America,Taped Up Heart (feat. Clara Mae) ca,72,12/31/2016
219656,7 Years,Lukas Graham,ca,Canada,Northern America,7 Years ca,63,12/31/2016
219658,Don't Stop Believin',Journey,ca,Canada,Northern America,Don't Stop Believin' ca,61,12/31/2016
219662,There for You,Martin Garrix,ca,Canada,Northern America,There for You ca,67,5/25/2017
219663,Run Me Dry,Bryson Tiller,ca,Canada,Northern America,Run Me Dry ca,67,5/25/2017
219670,Ni**as In Paris,JAY Z,ca,Canada,Northern America,Ni**as In Paris ca,64,12/31/2016
219672,The One,The Chainsmokers,ca,Canada,Northern America,The One ca,61,3/27/2017
219678,Obsession (feat. Jon Bellion),Vice,ca,Canada,Northern America,Obsession (feat. Jon Bellion) ca,66,3/19/2017
219679,Whippin (feat. Felix Snow),Kiiara,ca,Canada,Northern America,Whippin (feat. Felix Snow) ca,80,4/15/2017
219683,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",Wale,ca,Canada,Northern America,"My Love (feat. Major Lazer, WizKid, Dua Lipa) ca",64,4/30/2017
219690,Good Life (with G-Eazy & Kehlani),G-Eazy,ca,Canada,Northern America,Good Life (with G-Eazy & Kehlani) ca,66,3/29/2017
219692,Sooner Or Later,Aaron Carter,ca,Canada,Northern America,Sooner Or Later ca,65,1/22/2017
219700,Butterfly Effect,Travis Scott,ca,Canada,Northern America,Butterfly Effect ca,72,5/19/2017
219705,Met Gala (feat. Offset),Gucci Mane,ca,Canada,Northern America,Met Gala (feat. Offset) ca,67,5/25/2017
219707,Craving You,Thomas Rhett,ca,Canada,Northern America,Craving You ca,67,4/2/2017
219713,Strip That Down,Liam Payne,ca,Canada,Northern America,Strip That Down ca,73,5/18/2017
219726,Know No Better (feat. Quavo),Major Lazer,ca,Canada,Northern America,Know No Better (feat. Quavo) ca,62,6/2/2017
219731,Get It Together,Drake,ca,Canada,Northern America,Get It Together ca,61,3/18/2017
219732,I Like Me Better,Lauv,ca,Canada,Northern America,I Like Me Better ca,65,5/27/2017
219740,At My Best (feat. Hailee Steinfeld),Machine Gun Kelly,ca,Canada,Northern America,At My Best (feat. Hailee Steinfeld) ca,65,3/17/2017
219755,Felices los 4,Maluma,ca,Canada,Northern America,Felices los 4 ca,79,5/12/2017
219800,Fire In My Soul,Walk Off the Earth,ca,Canada,Northern America,Fire In My Soul ca,61,1/1/2017
219804,Water Under the Bridge,Adele,ca,Canada,Northern America,Water Under the Bridge ca,70,12/31/2016
219940,0.166666667,2 Chainz,ca,Canada,Northern America,0.16666666666666666 ca,63,5/31/2017
222435,In the Name of Love,Martin Garrix,ca,Canada,Northern America,In the Name of Love ca,132,12/31/2016
222436,All Time Low,Jon Bellion,ca,Canada,Northern America,All Time Low ca,122,12/31/2016
222437,Go Flex,Post Malone,ca,Canada,Northern America,Go Flex ca,127,1/1/2017
222438,Thinking Out Loud,Ed Sheeran,ca,Canada,Northern America,Thinking Out Loud ca,129,1/1/2017
222439,Gyalchester,Drake,ca,Canada,Northern America,Gyalchester ca,127,3/18/2017
222440,Capsize,FRENSHIP,ca,Canada,Northern America,Capsize ca,121,12/31/2016
222441,Perfect,Ed Sheeran,ca,Canada,Northern America,Perfect ca,138,3/3/2017
222446,Blem,Drake,ca,Canada,Northern America,Blem ca,127,3/18/2017
222448,XO TOUR Llif3,Lil Uzi Vert,ca,Canada,Northern America,XO TOUR Llif3 ca,122,3/24/2017
222451,"How Far I'll Go - From ""Moana""",Alessia Cara,ca,Canada,Northern America,"How Far I'll Go - From ""Moana"" ca",139,12/31/2016
222454,Passionfruit,Drake,ca,Canada,Northern America,Passionfruit ca,127,3/18/2017
222455,Galway Girl,Ed Sheeran,ca,Canada,Northern America,Galway Girl ca,139,3/3/2017
222458,Bad Things (with Camila Cabello),Machine Gun Kelly,ca,Canada,Northern America,Bad Things (with Camila Cabello) ca,121,12/31/2016
222460,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,ca,Canada,Northern America,Drowning (feat. Kodak Black) ca,129,3/15/2017
222461,Mercy,Shawn Mendes,ca,Canada,Northern America,Mercy ca,139,12/31/2016
222462,Comin Out Strong,Future,ca,Canada,Northern America,Comin Out Strong ca,125,2/23/2017
222463,Symphony (feat. Zara Larsson),Clean Bandit,ca,Canada,Northern America,Symphony (feat. Zara Larsson) ca,128,3/17/2017
222469,Unforgettable,French Montana,ca,Canada,Northern America,Unforgettable ca,124,4/7/2017
222473,Portland,Drake,ca,Canada,Northern America,Portland ca,127,3/18/2017
222494,Cold,Maroon 5,ca,Canada,Northern America,Cold ca,123,2/14/2017
222510,Down,Marian Hill,ca,Canada,Northern America,Down ca,127,2/12/2017
222546,Down,Fifth Harmony,ca,Canada,Northern America,Down ca,127,2/12/2017
222650,Slide,Calvin Harris,ca,Canada,Northern America,Slide ca,146,2/23/2017
222651,Up,NAV,ca,Canada,Northern America,Up ca,150,2/24/2017
222652,Location,Khalid,ca,Canada,Northern America,Location ca,158,2/5/2017
222653,Heathens,Twenty One Pilots,ca,Canada,Northern America,Heathens ca,142,12/31/2016
222654,Too Good,Drake,ca,Canada,Northern America,Too Good ca,150,12/31/2016
222655,Stay (with Alessia Cara),Zedd,ca,Canada,Northern America,Stay (with Alessia Cara) ca,146,2/23/2017
222656,Believer,Imagine Dragons,ca,Canada,Northern America,Believer ca,160,2/2/2017
222660,beibs in the trap,Travis Scott,ca,Canada,Northern America,beibs in the trap ca,141,1/1/2017
222661,Look At Me!,XXXTENTACION,ca,Canada,Northern America,Look At Me! ca,141,2/28/2017
222662,Some Way,NAV,ca,Canada,Northern America,Some Way ca,152,2/14/2017
222665,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,ca,Canada,Northern America,No Problem (feat. Lil Wayne & 2 Chainz) ca,150,12/31/2016
222666,Controlla,Drake,ca,Canada,Northern America,Controlla ca,146,12/31/2016
222669,Photograph,Ed Sheeran,ca,Canada,Northern America,Photograph ca,146,1/1/2017
222671,Mask Off,Future,ca,Canada,Northern America,Mask Off ca,150,2/17/2017
222672,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,ca,Canada,Northern America,Swalla (feat. Nicki Minaj & Ty Dolla $ign) ca,146,2/23/2017
222680,Love On The Brain,Rihanna,ca,Canada,Northern America,Love On The Brain ca,144,12/31/2016
222683,Cheap Thrills,Sia,ca,Canada,Northern America,Cheap Thrills ca,156,12/31/2016
222687,Something Just Like This,The Chainsmokers,ca,Canada,Northern America,Something Just Like This ca,147,2/21/2017
222688,Work from Home,Fifth Harmony,ca,Canada,Northern America,Work from Home ca,157,12/31/2016
222689,Rolex,Ayo & Teo,ca,Canada,Northern America,Rolex ca,159,2/3/2017
222691,Body Like A Back Road,Sam Hunt,ca,Canada,Northern America,Body Like A Back Road ca,160,2/2/2017
222694,It Ain't Me (with Selena Gomez),Kygo,ca,Canada,Northern America,It Ain't Me (with Selena Gomez) ca,149,2/15/2017
222710,Not Nice,PARTYNEXTDOOR,ca,Canada,Northern America,Not Nice ca,157,12/31/2016
222719,Tunnel Vision,Kodak Black,ca,Canada,Northern America,Tunnel Vision ca,150,2/17/2017
222747,Up,Desiigner,ca,Canada,Northern America,Up ca,150,2/24/2017
226253,24K Magic,Bruno Mars,ca,Canada,Northern America,24K Magic ca,172,12/31/2016
226254,Shape of You,Ed Sheeran,ca,Canada,Northern America,Shape of You ca,178,1/5/2017
226255,Caroline,Aminé,ca,Canada,Northern America,Caroline ca,174,12/31/2016
226257,Paris,The Chainsmokers,ca,Canada,Northern America,Paris ca,174,1/12/2017
226258,What They Want,Russ,ca,Canada,Northern America,What They Want ca,178,12/31/2016
226259,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,ca,Canada,Northern America,We Don't Talk Anymore (feat. Selena Gomez) ca,179,12/31/2016
226260,Treat You Better,Shawn Mendes,ca,Canada,Northern America,Treat You Better ca,179,12/31/2016
226264,Congratulations,Post Malone,ca,Canada,Northern America,Congratulations ca,169,1/15/2017
226265,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,ca,Canada,Northern America,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"") ca",177,12/31/2016
226266,'Till I Collapse,Eminem,ca,Canada,Northern America,'Till I Collapse ca,165,1/1/2017
226267,Too Many Years,Kodak Black,ca,Canada,Northern America,Too Many Years ca,175,1/9/2017
226269,Slippery (feat. Gucci Mane),Migos,ca,Canada,Northern America,Slippery (feat. Gucci Mane) ca,165,1/27/2017
226270,Get Right Witcha,Migos,ca,Canada,Northern America,Get Right Witcha ca,165,1/27/2017
226271,Lose Yourself - Soundtrack Version,Eminem,ca,Canada,Northern America,Lose Yourself - Soundtrack Version ca,164,12/31/2016
226276,Selfish,Virginia To Vegas,ca,Canada,Northern America,Selfish ca,180,2/23/2017
226278,Despacito (Featuring Daddy Yankee),Luis Fonsi,ca,Canada,Northern America,Despacito (Featuring Daddy Yankee) ca,168,1/22/2017
226281,Black Beatles,Rae Sremmurd,ca,Canada,Northern America,Black Beatles ca,180,12/31/2016
226287,Side To Side,Ariana Grande,ca,Canada,Northern America,Side To Side ca,173,12/31/2016
226290,Party Monster,The Weeknd,ca,Canada,Northern America,Party Monster ca,180,12/31/2016
226293,Castle on the Hill,Ed Sheeran,ca,Canada,Northern America,Castle on the Hill ca,178,1/5/2017
226313,Low Life,Future,ca,Canada,Northern America,Low Life ca,166,12/31/2016
226325,Scared to Be Lonely,Martin Garrix,ca,Canada,Northern America,Scared to Be Lonely ca,165,1/27/2017
226326,Selfish,Future,ca,Canada,Northern America,Selfish ca,180,2/23/2017
226357,Issues,Julia Michaels,ca,Canada,Northern America,Issues ca,171,1/17/2017
226358,T-Shirt,Migos,ca,Canada,Northern America,T-Shirt ca,173,1/13/2017
226364,Not Going Home,DVBBS,ca,Canada,Northern America,Not Going Home ca,162,12/31/2016
226411,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,ca,Canada,Northern America,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj) ca,165,1/27/2017
227573,Sorry,Future,ca,Canada,Northern America,Sorry ca,69,12/31/2016
230399,Unforgettable,Thomas Rhett,ca,Canada,Northern America,Unforgettable ca,124,4/7/2017
232276,Let Me Love You,DJ Snake,ca,Canada,Northern America,Let Me Love You ca,306,12/31/2016
232277,Let Me Love You,SJUR,ca,Canada,Northern America,Let Me Love You ca,306,12/31/2016
233002,No Long Talk,Drake,ca,Canada,Northern America,No Long Talk ca,81,3/18/2017
233003,Despacito - Remix,Luis Fonsi,ca,Canada,Northern America,Despacito - Remix ca,99,4/16/2017
233004,Wild One,Lucky Rose,ca,Canada,Northern America,Wild One ca,95,3/26/2017
233005,Still Got Time,ZAYN,ca,Canada,Northern America,Still Got Time ca,95,3/24/2017
233007,Slow Hands,Niall Horan,ca,Canada,Northern America,Slow Hands ca,88,5/3/2017
233008,Scars To Your Beautiful,Alessia Cara,ca,Canada,Northern America,Scars To Your Beautiful ca,98,12/31/2016
233010,Most Girls,Hailee Steinfeld,ca,Canada,Northern America,Most Girls ca,92,4/27/2017
233011,Reminding Me,Shawn Hook,ca,Canada,Northern America,Reminding Me ca,97,4/22/2017
233012,Trap Paris (feat. Quavo & Ty Dolla $ign),Machine Gun Kelly,ca,Canada,Northern America,Trap Paris (feat. Quavo & Ty Dolla $ign) ca,81,4/15/2017
233014,Everybody,Logic,ca,Canada,Northern America,Everybody ca,82,3/30/2017
233015,Sneakin’,Drake,ca,Canada,Northern America,Sneakin’ ca,98,12/31/2016
